unit_description,altercation_2014,civ_complaint_all,dept_complaint_all,count
DISTRICT 008,FALSE,TRUE,FALSE,17
DISTRICT 005,TRUE,TRUE,FALSE,17
DISTRICT 014,FALSE,TRUE,FALSE,17
DISTRICT 008,FALSE,FALSE,TRUE,17
SPECIAL INVESTIGATIONS UNIT,FALSE,TRUE,TRUE,16
DISTRICT 015,TRUE,FALSE,TRUE,16
DISTRICT 009,TRUE,TRUE,FALSE,16
DISTRICT 017,FALSE,FALSE,TRUE,16
DISTRICT 004,FALSE,TRUE,FALSE,16
DISTRICT 006,FALSE,TRUE,FALSE,16
EVIDENCE AND RECOVERED PROPERTY SECTION,FALSE,TRUE,TRUE,15
DISTRICT 024,FALSE,FALSE,TRUE,15
DISTRICT 006,FALSE,FALSE,TRUE,15
DISTRICT 019,FALSE,FALSE,TRUE,15
DISTRICT 009,FALSE,TRUE,FALSE,15
DISTRICT 025,FALSE,FALSE,TRUE,15
DISTRICT 018,FALSE,FALSE,TRUE,15
DISTRICT 015,FALSE,FALSE,TRUE,14
DISTRICT 007,TRUE,FALSE,TRUE,14
FIELD SERVICES SECTION,FALSE,TRUE,TRUE,14
SPECIAL WEAPONS AND TACTICS (SWAT) UNIT,TRUE,TRUE,TRUE,14
HUMAN RESOURCES DIVISION,FALSE,TRUE,TRUE,14
GANG ENFORCEMENT - AREA NORTH,FALSE,TRUE,TRUE,14
DISTRICT 019,TRUE,TRUE,FALSE,14
DISTRICT 009,FALSE,FALSE,TRUE,13
EDUCATION AND TRAINING DIVISION,FALSE,TRUE,FALSE,13
FORENSIC SERVICES EVIDENCE TECHNICIAN SECTION,TRUE,TRUE,TRUE,13
DISTRICT 011,TRUE,FALSE,TRUE,12
INFORMATION SERVICES DIVISION,FALSE,TRUE,TRUE,12
DISTRICT 008,TRUE,TRUE,FALSE,12
DISTRICT 016,FALSE,TRUE,FALSE,12
BOMB SQUAD,FALSE,TRUE,TRUE,12
AIRPORT LAW ENFORCEMENT SECTION - NORTH,TRUE,TRUE,TRUE,12
DISTRICT 025,TRUE,FALSE,TRUE,11
DETECTIVE AREA - CENTRAL,TRUE,TRUE,FALSE,11
DISTRICT 020,FALSE,FALSE,TRUE,11
DISTRICT 003,TRUE,FALSE,TRUE,11
DISTRICT 014,FALSE,FALSE,TRUE,11
ARSON SECTION,FALSE,TRUE,TRUE,10
DISTRICT 012,TRUE,TRUE,FALSE,10
DISTRICT 017,FALSE,TRUE,FALSE,9
GANG ENFORCEMENT DIVISION,FALSE,TRUE,TRUE,9
DISTRICT 016,FALSE,FALSE,TRUE,9
INSPECTION DIVISION,FALSE,TRUE,TRUE,9
DETECTIVE AREA - SOUTH,FALSE,TRUE,FALSE,9
DETECTIVE AREA - NORTH,FALSE,FALSE,TRUE,9
EDUCATION AND TRAINING DIVISION,FALSE,FALSE,TRUE,9
SPECIAL ACTIVITIES SECTION,FALSE,TRUE,TRUE,8
DISTRICT 002,TRUE,TRUE,FALSE,8
DISTRICT 001,TRUE,TRUE,FALSE,8
DETECTIVE AREA - SOUTH,FALSE,FALSE,TRUE,8
DISTRICT 022,FALSE,FALSE,TRUE,8
DISTRICT 022,FALSE,TRUE,FALSE,8
BUREAU OF PATROL,FALSE,TRUE,TRUE,8
FORENSIC SERVICES EVIDENCE TECHNICIAN SECTION,FALSE,TRUE,FALSE,8
BUREAU OF  DETECTIVES,FALSE,TRUE,TRUE,8
DISTRICT 014,TRUE,TRUE,FALSE,8
AIRPORT LAW ENFORCEMENT SECTION - NORTH,FALSE,TRUE,FALSE,8
TRANSIT SECURITY UNIT,FALSE,TRUE,TRUE,7
BUREAU OF INTERNAL AFFAIRS,FALSE,FALSE,TRUE,7
DETECTIVE AREA - NORTH,TRUE,TRUE,FALSE,7
SPECIAL WEAPONS AND TACTICS (SWAT) UNIT,FALSE,TRUE,FALSE,7
DISTRICT 017,TRUE,TRUE,FALSE,7
BOMB AND ARSON DIVISION,FALSE,TRUE,TRUE,7
RESEARCH AND DEVELOPMENT DIVISION,FALSE,TRUE,TRUE,6
SPECIAL FUNCTIONS DIVISION,FALSE,TRUE,TRUE,6
DISTRICT 010,TRUE,FALSE,TRUE,6
DETACHED SERVICES - MISCELLANEOUS DETAIL,FALSE,TRUE,TRUE,6
ALTERNATE RESPONSE SECTION,FALSE,TRUE,TRUE,6
DISTRICT 006,TRUE,FALSE,TRUE,6
PUBLIC TRANSPORTATION SECTION,FALSE,TRUE,FALSE,6
DISTRICT 005,TRUE,FALSE,TRUE,6
DISTRICT 019,TRUE,FALSE,TRUE,6
LEGAL AFFAIRS SECTION,FALSE,TRUE,TRUE,5
OFFICE OF THE FIRST DEPUTY SUPERINTENDENT,FALSE,TRUE,TRUE,5
EDUCATION AND TRAINING DIVISION,TRUE,TRUE,TRUE,5
EXECUTIVE OFFICERS UNIT,FALSE,TRUE,TRUE,5
AIRPORT LAW ENFORCEMENT SECTION - NORTH,FALSE,FALSE,TRUE,5
YOUTH INVESTIGATION DIVISION,FALSE,TRUE,TRUE,5
CENTRAL INVESTIGATIONS DIVISION,FALSE,TRUE,FALSE,5
DISTRICT 018,TRUE,TRUE,FALSE,5
AIRPORT LAW ENFORCEMENT SECTION - SOUTH,TRUE,TRUE,TRUE,5
COURT SECTION,FALSE,TRUE,TRUE,5
DETECTIVE AREA - CENTRAL,FALSE,FALSE,TRUE,5
DISTRICT 002,TRUE,FALSE,TRUE,5
GANG ENFORCEMENT DIVISION,TRUE,TRUE,TRUE,4
FOP DETAIL,FALSE,TRUE,TRUE,4
BUREAU OF ORGANIZED CRIME,FALSE,TRUE,TRUE,4
FORENSIC SERVICES DIVISION,FALSE,TRUE,FALSE,4
OFFICE OF NEWS AFFAIRS,FALSE,TRUE,TRUE,4
BUREAU OF INTERNAL AFFAIRS,TRUE,TRUE,TRUE,4
