year,distance,speed,index,,,,
2018,4.012,11.438845,180,,,,
2018,20.895,11.165491,181,,,,
2018,4.001,11.099817,182,,,,
2018,15.147,11.360468,183,,,,
2018,8.143,8.9910965,184,,,,
2018,10.107,11.632071,185,,,,
2018,6.04,11.441392,186,,,,
2018,7.015,11.612022,187,,,,
2018,6.215,11.791938,188,,,,
2018,3.03,11.657632,189,,,,
2018,8.004,11.56864,190,,,,
2018,7.668,12.759553,191,,,,
2018,14.023,11.70898,192,,,,
2018,12.013,11.132603,193,,,,
2017,10.317,12.206447,194,,,,
2017,6,11.973392,195,,,,
2017,8,12.28669,196,,,,
2017,8.646,12.015246,197,,,,
2017,8.003,12.0807495,198,,,,
2017,10.061,12.042807,199,,,,
2017,7.109,12.414569,200,,,,
2017,10.118,12.058474,201,,,,
2017,8.05,12.473045,202,,,,
2017,8.007,10.414272,203,,,,
2017,6.51,11.518954,204,,,,
2017,10.063,11.67594,205,,,,
2017,6.14,12.251568,206,,,,
2017,7.04,11.899984,207,,,,
2017,8.005,11.976,208,,,,
2017,8,13.308687,209,,,,
2017,10.008,13.075499,210,,,,
2017,10.286,12.7449665,211,,,,
2017,12.005,12.928309,212,,,,
2017,9.997,12.616456,213,,,,
2017,11,12.474347,214,,,,
2017,12.001,12.261377,215,,,,
2017,10.1,12.866469,216,,,,
2017,7.999,12.948435,217,,,,
2017,15.996,12.456626,218,,,,
2017,10.005,12.955274,219,,,,
2017,11.996,13.349402,220,,,,
2017,11.997,13.339078,221,,,,
2017,18.203,12.920767,222,,,,
2017,14.003,13.133192,223,,,,
2017,8.006,12.92128,224,,,,
2017,8.009,13.915953,225,,,,
2017,10.006,12.98307,226,,,,
2017,12.003,13.218968,227,,,,
2017,21.501,12.030743,228,,,,
2017,10.001,12.972836,229,,,,
2017,12.004,12.471339,230,,,,
2017,10.007,12.966513,231,,,,
2017,13.239,12.553647,232,,,,
2017,16.012,11.925535,233,,,,
2017,11.005,12.1108,234,,,,
2017,11.966,11.24716,235,,,,
2017,12.013,12.307345,236,,,,
2016,10.68,12.301497,237,,,,
2016,9.055,11.410306,238,,,,
2016,8.076,12.041984,239,,,,
2016,10.066,12.269529,240,,,,
2016,8.018,12.477447,241,,,,
2016,10.076,11.955162,242,,,,
2016,6.064,12.108794,243,,,,
2016,9.059,12.013225,244,,,,
