year,distance,speed,index,x,y,vy,vx
2020,12.037,12.071130527506964,0,600.2377129189299,261.1987155279395,0.02262563372076602,-0.008095084492068708
2020,3.283,15.333384758025293,1,1001.9999089114451,219.99998265601513,2.6969151577010932e-9,1.4163879087878717e-8
2020,5.454,13.011530815109344,2,769.6795875222908,281.15092999568213,0.023950816102309216,0.021818877295964743
2020,10.044,11.789736127526899,3,563.0247966524777,129.97021214848314,-0.021427602779052257,-0.015525327243271651
2020,10.034,13.088217136548913,4,788.2288756672127,148.08553642298594,-0.00039714113682231856,0.012700840774979686
2020,14.038,12.093639794956927,5,561.6382755289843,236.7080516587491,-0.0005013801600557783,-0.01105527343917201
2020,7.884,12.727533632286995,6,731.2341355661762,307.1204327552317,0.08172440845848941,0.008818866295143184
2020,5.027,14.138719024658203,7,868.2017420879703,223.66602487899735,0.009082937971020203,0.012409891821103154
2020,24.029,11.312436249509611,8,498.34191305759447,276.0312964480703,0.007515071478293485,-0.021317310236893778
2020,8.737,12.928039746454994,9,759.1943269078474,262.2526532830692,0.018940455636612476,0.02581331974535076
2020,5.037,13.717035327628594,10,849.9967262488758,208.96032239457634,0.0009257657203678291,0.020076078930972744
2020,10.04,12.895269855957903,11,746.7433161388193,209.1518176761021,0.0034345672484618296,0.007382488386305305
2020,5.168,11.88229840158046,12,591.0073241430499,285.7366462059447,-0.034584767273178454,-0.04996356359170034
2020,10.069,12.135748006988617,13,635.8601955726199,218.7494050646756,-0.003596953225351379,-0.019208004433066583
2020,10.042,12.066848897488319,14,631.8773630992148,285.4225814417001,0.02499585554084628,-0.015163550034269849
2020,18.164,10.819060225016546,15,446.14531553714556,225.18405878839698,0.0036385253095319488,-0.012627609198927758
2020,15.102,12.187302979993275,16,616.230037613019,284.8483329037075,0.028363175303270052,0.005930419893875744
2020,10.153,12.920933440482502,17,775.8077909156337,226.87011800940678,-0.0054327320764085835,0.03484813219962945
2020,10.083,13.15650598042769,18,786.283851311205,236.43721001275452,0.00912593703559611,0.0320455785582177
2020,15.022,11.470142248806999,19,507.3304679181299,169.16346935429922,-0.02152599946173072,-0.01881896521173697
2020,23.218,11.97515759312321,20,580.8041671409432,176.1885586747398,-0.015920956235502454,-0.01590395231118684
2020,14.035,13.069787894464564,21,766.2296914668099,182.61880260927944,-0.0038366407808324097,0.007905266213459551
2020,10.034,11.094877365824631,22,454.6825647359178,188.14143866699231,-0.011660930346669051,-0.015060147205315377
2020,12.426,11.169438202247191,23,479.8404193129644,272.32008127182274,0.018795261082248223,-0.016255763659930794
2020,13.48,9.377460597826088,24,310.41606725779275,223.3516256213608,-0.00007283420744203096,-0.0006187194554929027
2020,6.17,9.468337895620204,25,319.47780793505586,212.68923352803637,0.0004203704037083407,-0.00007327778424495086
2019,10.1,12.8301766771789,26,737.4424468320481,117.26194559113746,-0.021673529222867607,0.0040724623570164336
2019,16.026,11.818,27,553.6324285943934,221.08495845607112,-0.008073543999026513,-0.01673769147490071
2019,10.399,12.104,28,676.8202824988099,220.20034757283395,0.003676744627497863,0.015477561094519095
2019,15.067,12.205,29,604.2703316615982,186.83429739602113,-0.012505213256671647,-0.003340708117226378
2019,20.072,11.573,30,551.1571437936211,323.77715863603663,0.025700266373303964,-0.005704618947768719
2019,10.05,12.536,31,673.2738150470848,180.06504257575688,-0.03457298445234099,0.007255342203112114
2019,15.008,10.697,32,434.15512724458057,238.64359801540417,0.005815089162915021,-0.011194767810621804
2019,5.007,10.031,33,371.33706955443154,211.93453961785954,-0.0026174426761556503,-0.006088705903217732
2019,18.123,11.86,34,574.9925429024044,116.36210678996099,-0.022673721176470405,-0.007535749271706232
2019,16.032,12.306,35,647.8885967600771,286.5479665121114,0.019749921616039768,0.005569241809745229
2019,8.642,10.278,36,393.3080997191159,238.49642551327474,0.001396822296568054,-0.0018294188013678143
2019,10.044,12.409,37,668.1128063333366,205.10241881807303,-0.003744476484409871,0.002837405488457778
2019,25.102,10.156,38,378.27641619369354,229.01620978433667,0.003541102104274118,-0.005462896831790466
2019,7.521,13.292,39,802.3749163316867,251.08621563343425,-0.0015934054795068403,0.01506816084781068
2019,9.997,13.632,40,840.8798195100865,246.67737612124424,0.0066318255206564425,0.0035065456185366796
2019,10.021,11.899234596594658,41,591.4869678887973,273.3168757167101,0.021718291577472522,-0.003277097584358321
2019,25.051,11.686,42,547.8998046534823,253.96429640222823,0.014505247351923434,-0.028256004325166503
2019,9.251,13.445,43,827.6609636105211,181.62948662500804,-0.01194633498136134,0.025703702644960625
2019,11.334,9.782,44,350.4717146392757,214.55497492005344,-0.00204139331659658,-0.002373918578304703
2019,12.029,13.656,45,843.7940897313232,231.99359662316368,0.008349366268046794,0.01313429070417988
2019,0.444,10.8,46,454.1522500419787,201.03952751060746,-0.012977918923407654,-0.02752024284758137
2019,13.767,11.05,47,459.2276950386203,270.83411639063735,0.008111619211756663,-0.013976656434944638
2019,11.15,12.497,48,696.3788399492792,173.92368906032704,-0.009517157607993586,0.0198842096308667
2019,7.001,13.478,49,831.074838689177,226.50082098423988,-0.0009837341649157956,0.017219205059794622
2019,14.903,10.323,50,416.91457128161704,238.55710102030025,0.0034228786522516323,-0.011354143303663794
2019,8.085,13.182,51,791.1920091260865,177.27629531596213,-0.001151674231444638,0.0180648633385623
2019,10.391,11.264,52,476.42452975926216,161.12805261436125,-0.014177723572298247,-0.018024374957361602
2019,14.031,11.433,53,513.7266000269307,290.2637885371693,0.023836464875179205,-0.010522203975129884
2019,11.619,10.272,54,403.8438119908519,248.29535793032866,0.008006158919858519,-0.00793395632178945
